tax_num,avg_tax_incm,fine_code,fine_name
15777,43387.6358623312,32430, Tiling and Carpeting Services
28484,40286.8425431821,32440, Painting and Decorating Services
1445,52452.7079584775,32450, Glazing Services
11565,43236.7276264591,32910, Landscape Construction Services
2720,58187.1169117647,32920, Hire of Construction Machinery with Operator
24115,41143.4580136844,32990, Other Construction Services n.e.c.
24,58238.7916666667,33110, Wool Wholesaling
22,55962.3181818182,33120, Cereal Grain Wholesaling
1221,60468.7256347256,33190, Other Agricultural Product Wholesaling
29,49777.2068965517,33210, Petroleum Product Wholesaling
716,39764.3575418994,33221, Metal Waste and Scrap Wholesaling
32,55988.25,33229, Other Metal and Mineral Wholesaling
223,46115.2242152466,33230, Industrial and Agricultural Chemical Product Wholesaling
180,51865.9444444445,33310, Timber Wholesaling
181,50656.9834254144,33320, Plumbing Goods Wholesaling
479,46444.6012526096,33390, Other Hardware Goods Wholesaling
37,60277.8918918919,34110, Agricultural and Construction Machinery Wholesaling
203,55035.4679802956,34190, Other Specialised Industrial Machinery and Equipment Wholesaling
126,66713.6031746032,34910, Professional and Scientific Goods Wholesaling
119,55220.9831932773,34920, Computer and Computer Peripheral Wholesaling
86,46419.7325581395,34930, Telecommunication Goods Wholesaling
503,50151.8051689861,34940, Other Electrical and Electronic Goods Wholesaling
240,50472.4541666667,34990, Other Machinery and Equipment Wholesaling n.e.c.
190,58671.9421052632,35010, Car Wholesaling
31,62160.2903225806,35020, Commercial Vehicle Wholesaling
36,54469.4722222222,35030, Trailer and Other Motor Vehicle Wholesaling
397,46992.3299748111,35040, Motor Vehicle New Parts Wholesaling
360,40825.0388888889,35050, Motor Vehicle Dismantling and Used Parts Wholesaling
31,37686.7741935484,36010, General Line Grocery Wholesaling
181,45327.0497237569,36020," Meat, Poultry and Smallgoods Wholesaling"
41,40773.9268292683,36030, Dairy Produce Wholesaling
114,43095.8421052632,36040, Fish and Seafood Wholesaling
345,40189.5188405797,36050, Fruit and Vegetable Wholesaling
97,50464.3505154639,36061, Liquor Wholesaling
40,50990.5,36062, Tobacco Product Wholesaling
741,43630.8893387314,36090, Other Grocery Wholesaling
169,37241.9349112426,37110, Textile Product Wholesaling
542,48443.7601476015,37120, Clothing and Footwear Wholesaling
222,56574.5225225225,37200, Pharmaceutical and Toiletry Goods Wholesaling
116,42107.5862068966,37310, Furniture and Floor Covering Wholesaling
316,42035.8987341772,37320, Jewellery and Watch Wholesaling
269,44770.1524163569,37330, Kitchen and Diningware Wholesaling
231,51004.0303030303,37340, Toy and Sporting Goods Wholesaling
108,48272.1851851852,37350, Book and Magazine Wholesaling
95,38594.0842105263,37360, Paper Product Wholesaling
1863,46549.9871175523,37390, Other Goods Wholesaling n.e.c.
1023,46026.4555229717,38000, Commission-Based Wholesaling
1031,38923.7934044617,39110, Car Retailing
168,46071.9285714286,39120, Motor Cycle Retailing
166,45743.0602409639,39130, Trailer and Other Motor Vehicle Retailing
69,48680.463768116,39211, Motor Vehicle Battery Retailing
548,47496.7098540146,39219, Motor Vehicle Parts Retailing n.e.c.
184,45444.2336956522,39220, Tyre Retailing
183,58226.1639344262,40000, Fuel Retailing
1017,32250.0294985251,41100, Supermarket and Grocery Stores
519,43325.1464354528,41211, Meat Retailing (Except Poultry or Canned Meat)
142,36106.3309859155,41212, Fresh Fish Retailing
19,33123.7894736842,41213, Fresh Poultry Retailing
629,36896.0349761526,41220, Fruit and Vegetable Retailing
223,49686.865470852,41230, Liquor Retailing
4051,37712.6768699087,41290, Other Specialised Food Retailing
701,35577.5106990014,42110, Furniture Retailing
452,45316.0597345133,42120, Floor Coverings Retailing
1225,36586.4653061225,42130, Houseware Retailing
1029,37702.4246841594,42140, Manchester and Other Textile Goods Retailing
2062,46630.8128031038,42210," Electrical, Electronic and Gas Appliance Retailing"
975,43460.4492307692,42220, Computer and Computer Peripheral Retailing
451,43688.4767184035,42290, Other Electrical and Electronic Goods Retailing
495,42382.8686868687,42310, Hardware and Building Supplies Retailing
800,40833.335,42320, Garden Supplies Retailing
1063,46861.8889934149,42410, Sport and Camping Equipment Retailing
769,46381.821846554,42420, Entertainment Media Retailing
1108,41525.1868231047,42430, Toy and Game Retailing
275,32720.0872727273,42441, Newsagents
560,44461.9285714286,42442, Book Retailing
228,50867.3333333333,42450, Marine Equipment Retailing
7734,39024.5777088182,42510, Clothing Retailing
359,39788.356545961,42520, Footwear Retailing
818,36958.8740831296,42530, Watch and Jewellery Retailing
1205,36937.8970954357,42590, Other Personal Accessory Retailing
14,39955.2142857143,42600, Department Stores
2496,177992.639022436,42711, Chemist or Pharmacy Operations
818,43923.1687041565,42712," Cosmetics, Perfumes and Toiletry Goods Retailing (Except Direct Marketing) n.e.c."
541,42855.7282809612,42720, Stationery Goods Retailing
35,59351.6285714286,42731, Pawnbroking
737,32470.8656716418,42732, Antiques Retailing (Except Pawnbroking or Disposal Stores)
992,31743.5574596774,42733, Disposal Stores (Second Hand Goods Retailing Except Pawnbroking and Antiques)
2450,34884.5555102041,42740, Flower Retailing
203,46215.6650246306,42791, Swimming Pool and Spa Retailing
987,41406.3890577508,42792, Art Dealers (Including Retail Art Gallery Operation Except by Direct Marketing)
100,46961.72,42793, Adult Sex Shop Operation
1002,34348.745508982,42794, Pets Retailing
7189,37702.7016274864,42799, Other Store-Based Retailing n.e.c.
1790,46277.4899441341,43101," Cosmetics, Perfumes and Toiletry Goods Retailing by Direct Marketing (Except Commission Based)"
1242,40492.9371980676,43102, Jewellery Retailing by Direct Marketing (Except Commission Based)
6420,41849.041588785,43109, Non-Store Retailing n.e.c.
1053,44181.7701804369,43201," Cosmetics, Perfumes and Toiletry Goods Retailing Commission Based"
140,39263.4642857143,43202, Jewellery Retailing Commission Based
4378,43348.3391959799,43209, Retail Commission-Based Buying and/or Selling n.e.c.
3967,48559.5276027225,44000, Accommodation
6645,30411.7984951091,45110, Cafes and Restaurants
6478,30827.38036431,45120, Takeaway Food Services
3959,38940.3793887345,45130, Catering Services
307,36195.3778501629,45200," Pubs, Taverns and Bars"
90,35120.8444444445,45301, Licensed Clubs (Hospitality) Operation
72,36425.6527777778,45302, Unlicensed Clubs (Hospitality) Operation
16920,38501.9669030733,46100, Road Freight Transport
333,42797.5345345345,46210, Interurban and Rural Bus Transport
802,44996.0211970075,46220, Urban Bus Transport (Including Tramway)
23283,39654.8798694326,46231, Taxi Service Operation
14060,41913.5919630157,46239, Other Road Transport (Except Taxi)
10,98954.2,47100, Rail Freight Transport
178,107830.556179775,48100, Water Freight Transport
250,66558.056,48200, Water Passenger Transport
216,96336.212962963,49001, Aircraft Charter and Lease
32,65132.40625,49009, Other Air and Space Transport
540,53515.3462962963,50100, Scenic and Sightseeing Transport
3616,41446.9452433628,50290, Other Transport n.e.c.
1071,40436.7703081233,51010, Postal Services
21155,33319.9110848499,51020, Courier Pick-up and Delivery Services
23,46907.2608695652,52110, Stevedoring Services
25,63430.48,52120, Port and Water Transport Terminal Operations
519,58190.140655106,52190, Other Water Transport Support Services
317,76390.1514195584,52200, Airport Operations and Other Air Transport Support Services
160,50342.93125,52910, Customs Agency Services
263,46945.8403041825,52920, Freight Forwarding Services
53385,35137.3665449096,52991, Taxi Driver
1882,41854.6896918172,52999, Other Transport Support Services n.e.c.
12,360817.75,53010, Grain Storage Services
497,53520.9597585513,53090, Other Warehousing and Storage Services
200,55700.15,54110, Newspaper Publishing
299,52416.3578595318,54120, Magazine and Other Periodical Publishing
1422,56295.85302391,54130, Book Publishing
18,36756.6666666667,54140, Directory and Mailing List Publishing
268,48414.8917910448,54190," Other Publishing (except Software, Music and Internet)"
1143,78955.2720909886,54200, Software Publishing
6172,55249.444426442,55110, Motion Picture and Video Production
104,50115.5865384615,55120, Motion Picture and Video Distribution
42,55847.2380952381,55130, Motion Picture Exhibition
704,-89215.5340909091,55140, Post-production Services and Other Motion Picture and Video Activities
84,65287.3452380952,55210, Music Publishing
3041,48789.1111476488,55220, Music and Other Sound Recording Activities
253,75450.8616600791,56100, Radio Broadcasting
151,75978.8543046358,56210, Free-to-Air Television Broadcasting
86,48652.9186046512,56220, Cable and Other Subscription Broadcasting
1010,56445.9316831683,57000, Internet Publishing and Broadcasting
997,49256.9949849549,58010, Wired Telecommunications Network Operation
218,48977.5091743119,58020, Other Telecommunications Network Operation
781,47529.1113956466,58090, Other Telecommunications Services
617,51340.376012966,59100, Internet Service Providers and Web Search Portals
1431,50865.2529699511,59210, Data Processing and Web Hosting Services
96,59599.2083333333,59220, Electronic Information Storage Services
209,55029.971291866,60100, Libraries and Archives
1073,58835.0568499534,60200, Other Information Services
47,63994.5106382979,62210, Banking
14,58052.2857142857,62220, Building Society Operation
273,66990.8131868132,62290, Other Depository Financial Intermediation
200,64430.795,62300, Non-Depository Financing
8609,86033.7835985597,62400, Financial Asset Investing
34,42671.7058823529,63100, Life Insurance
13,68442.3076923077,63210, Health Insurance
228,63856.9385964912,63220, General Insurance
9991,84695.3940546492,64110, Financial Asset Broking Services
5733,79042.2421070993,64190, Other Auxiliary Finance and Investment Services
671,71741.6154992548,64200, Auxiliary Insurance Services
3725,57688.2518120805,66110, Passenger Car Rental and Hiring
1422,75315.7187060478,66190, Other Motor Vehicle and Transport Equipment Rental and Hiring
202,71989.0346534654,66200, Farm Animal and Bloodstock Leasing
1270,76870.7559055118,66310, Heavy Machinery and Scaffolding Rental and Hiring
189,44759.8941798942,66320, Video and Other Electronic Media Rental and Hiring
3370,66241.8557863502,66390, Other Goods and Equipment Rental and Hiring n.e.c.
1717,67705.0943506115,66400, Non-Financial Intangible Assets (Except Copyrights) Leasing
1593,61506.5593220339,67110, Residential Property Operators
3199,106857.647389809,67120, Non-Residential Property Operators
8483,54959.9423552988,67200, Real Estate Services
1995,80537.9954887218,69100, Scientific Research Services
8852,60398.2788070493,69210, Architectural Services
1177,68916.945624469,69220, Surveying and Mapping Services
11800,74786.7594915254,69230, Engineering Design and Engineering Consulting Services
18209,50278.0257015762,69240, Other Specialised Design Services
1338,79434.322122571,69250, Scientific Testing and Analysis Services
13596,185460.187849367,69310, Legal Services
32280,57948.6068153656,69320, Accounting Services
8689,53360.3267349522,69400, Advertising Services
1953,56228.2124935996,69500, Market Research and Statistical Services
292,63481.3219178082,69610, Corporate Head Office Management Services
2251,66665.8023100844,69621, Environmental Management Consultancy
1271,73573.1510621558,69622, OHAS Consultancy
40449,82566.3015896561,69629, Management Advice and Related Consulting Services n.e.c.
1535,77169.2006514658,69700, Veterinary Services
16578,46979.2774158523,69910, Professional Photographic Services
6239,54541.9065555377,69990," Other Professional, Scientific and Technical Services n.e.c."
19142,68871.2838261415,70000, Computer System Design and Related Services
951,63667.7949526814,72110, Employment Placement and Recruitment Services
9483,40346.0749762733,72120, Labour Supply Services
4413,39238.4772263766,72200, Travel Agency and Tour Arrangement Services
7890,39477.5313054499,72910, Office Administrative Services
1344,44858.4308035714,72920, Document Preparation Services
262,50198.3740458015,72930, Credit Reporting and Debt Collection Services
102,33077.7450980392,72940, Call Centre Operation
7500,43037.5988,72990, Other Administrative Services n.e.c.
52251,30184.7731335285,73110, Building and Other Industrial Cleaning Services
1678,46779.3343265793,73120, Building Pest Control Services
23092,36664.0852676252,73130, Gardening Services
607,33764.7940691928,73200, Packaging Services
28,54639.1428571429,75100, Central Government Administration
31,105790.451612903,75200, State Government Administration
84,52916.5,75300, Local Government Administration
80,95093.9,75400, Justice
19,110152.631578947,75520, Foreign Government Representation
21,72241.1904761905,77110, Police Services
3640,44532.2782967033,77120, Investigation and Security Services
296,71880.1655405406,77130, Fire Protection and Other Emergency Services
423,65723.5177304965,77190, Other Public Order and Safety Services
62,61307.0483870968,77200, Regulatory Services
213,40585.882629108,80100, Preschool Education
226,38819.889380531,80210, Primary Education
307,42208.2214983713,80220, Secondary Education
218,38120.2889908257,80230, Combined Primary and Secondary Education
470,41615.285106383,80240, Special School Education
580,56523.0913793104,81011, Computer Training (Vocational)
4715,59172.6475079534,81019, Technical and Vocational Education and Training n.e.c.
439,78757.1184510251,81020, Higher Education
11587,47352.5254164149,82110, Sports and Physical Recreation Instruction
10827,40344.4573750808,82120, Arts Education
141,56016.6737588653,82191, Flying School Operation
13589,46837.9662226801,82199," Adult, Community and Other Education n.e.c."
4085,48027.8631578947,82200, Educational Support Services
99,218280.606060606,84010, Hospitals (Except Psychiatric Hospitals)
24,82510.7083333333,84020, Psychiatric Hospitals
20481,191411.642693228,85110, General Practice Medical Services
2482,492738.829170024,85121, Anaesthetist (Own Account)
1574,330628.100381194,85122, Specialist Medical Clinic Operation
278,362764.320143885,85123, Dermatologist (Own Account)
631,460364.315372425,85124, Gynaecologist and Obstetrician (Own Account)
2500,168093.3636,85125, Psychiatrist (Own Account)
14592,342310.126850329,85129, Specialist Medical Services n.e.c.
338,158074.642011834,85202, Pathologist (Own Account)
757,420569.536327609,85203, Radiologist (Own Account)
195,130357.220512821,85209, Other Pathology and Diagnostic Imaging Services
7261,161202.714088969,85310, Dental Services
1230,86880.2024390244,85320, Optometry and Optical Dispensing
6988,61919.8045220378,85330, Physiotherapy Services
3119,58680.336646361,85340, Chiropractic and Osteopathic Services
15053,32589.0445094001,85391, Complementary and Alternative Services
19463,64277.404254226,85399, Other Allied Health Services (Mainstream)
5,57822.6,85910, Ambulance Services
13203,48739.4444444445,85990, Other Health Care Services n.e.c.
22,41537.2272727273,86011, Retirement Village Operation
187,91161.7272727273,86012, Accommodation for the Aged Operation
1215,33631.8098765432,86090, Other Residential Care Services
15869,26961.8277774277,87100, Child Care Services
4651,48912.6587830574,87900, Other Social Assistance Services
68,50878.1029411765,89100, Museum Operation
106,41163.6037735849,89210, Zoological and Botanical Gardens Operation
103,42864.572815534,89220, Nature Reserves and Conservation Parks Operation
2165,45913.8484988453,90010, Performing Arts Operation
2578,40463.4988363072,90020, Creative and Performing Arts Activities
23611,48648.5354707552,90021, Musicians and Entertainers
28992,52387.1934671634,90029," Other Creative Artists, Writers and Performers"
500,50987.81,90030, Performing Arts Venue Operation
12566,40744.8301766672,91110, Health and Fitness Centres and Gymnasia Operation
466,91690.3798283262,91121, Jockeys
17,112525,91123, Professional Cricketers
112,150255.455357143,91124, Professional Footballers
37,44079.5135135135,91125, Umpires and Referees
1590,72856.2666666667,91126, Professional Sportspersons n.e.c.
346,45311.6473988439,91129, Sports and Physical Recreation Clubs n.e.c.
120,35908.625,91131, Squash and Tennis Court Operation
360,47583.4305555556,91139," Sports and Physical Recreation Venues, Grounds and Facilities Operation n.e.c."
590,56005.0762711864,91140, Sports and Physical Recreation Administrative Service
51,48266.7647058824,91210, Horse and Dog Racing Administration and Track Operation
321,41290.2647975078,91291, Dog Training (Racing)
1377,32041.2490922295,91292, Horse Training (Racing)
837,42484.2855436081,91299, Other Horse and Dog Racing Activities
99,42883.5050505051,91310, Amusement Parks and Centres Operation
2575,44119.1122330097,91390, Amusement and Other Recreational Activities n.e.c.
11,68004.8181818182,92020, Lottery Operation
270,81363.2,92091, Bookmaker
118,59385.5,92092, TAB Agency Operation
166,48528.8192771084,92099, Other Gambling Activities n.e.c.
1801,51848.3087173792,94110, Automotive Electrical Services
403,44252.0297766749,94121, Motor Vehicle Windscreen Repair and Service
4680,40392.2485042735,94129," Automotive Body, Paint and Interior Repair n.e.c."
775,45191.024516129,94191, Motor Vehicle Clutch and Brake Repair and Service
281,39353.0320284698,94192, Motor Vehicle Radiator Repair and Service
